id,title,category,shortlist_rank,type,location_town,plz,district_or_region,price_eur,price_note,living_m2,plot_m2,rooms,year_built,energy_hwb_class,energy_hwb_value,heating,has_garden,has_parking,parking_note,has_garage,has_sauna,has_pool,condition_note,commute_pt_min_low,commute_pt_min_high,commute_car_rush_low,commute_car_rush_high,lat,lon,location_precision,url_primary,url_alt,notes,research_date,listing_status,first_seen,last_seen,disappeared_date,price_eur_previous,price_changed_at,price_change_eur,change_flags,seller_type,seller_type_note,makler_name,price_per_m2,fees_statutory_pct,fees_makler_pct,fee_grunderwerbsteuer_eur,fee_grundbuch_eur,fee_notar_eur,fee_makler_eur,fees_total_eur,all_in_price_eur
SL1,EFH gekuppelt — Mehr Raum für Familie (Tulln),shortlist,1,EFH,Tulln an der Donau,3430,Bezirk Tulln / Langenlebarner-Viertel,400000,,122,493,5,1966,F,205.2,Gas ZH (Vaillant Therme 2025),true,true,Garage + Stellplatz,true,false,false,Renovierungsbedürftig; BJ 1966 gekuppelt; Keller ~61 m²,60,80,55,80,48.3341,16.04999,town,https://www.ir.at/de/immobilien/1690346-mehr-raum-fur-familie-leben-in-tulln,https://www.dibeo.at/expose/2243032,"Covered terrace, balcony, Brunnen; near Bahnhof & Aubad. Town centroid — exact street withheld. All-in ~€440–448k with NK.",2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,IR Immobilienring; Provision €14.400 inkl. 20% USt (page),Immobilien86 KG / IR,3278.69,6.1,3.6,14000,4400,6000,14400,38800,438800
SL2,EFH „Jetzt einziehen – dann fertigstellen!“,shortlist,2,EFH,Altenwörth,3474,Bezirk Tulln,380000,Richtpreis,121,471,5,2000,,,,true,true,Garage,true,false,false,EG bezugsfertig; DG+Keller roh; Nutzfläche ~192 m²,,,,,48.38976,15.86862,town,https://www.remax.at/de/1626-29004,https://findheim.at/de/immobilie/quot-jetzt-einziehen-dann-fertigstellen-quot-72da6d48,~20–25 min to Tulln. Town centroid. Clear under-budget cushion for finishing.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,RE/MAX listing (remax.at/1626-29004); buyer commission typical 3%+USt,RE/MAX,3140.5,6.1,3.6,13300,4180,5700,13680,36860,416860
SL3,EFH mit Garten & Garage (Langenlebarn),shortlist,3,EFH,Langenlebarn,3425,Bezirk Tulln (neighbour of Tulln),435000,,100,807,4,1966,G,280.0,Gas ZH,true,true,Garage / Nebengebäude,true,false,false,Mittlerer bis guter Zustand; gepflegt; mehrere Terrassen,55,75,50,75,48.33228,16.12399,town,https://www.immobilienscout24.at/expose/65f8c829a1bc22d52add4361,,Largest plot in shortlist. All-in with NK ~€479–487k (over €450k budget after NK). Town centroid.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,ImmoScout24: Provision 3% des Kaufpreises plus 20% USt,,4350.0,6.1,3.6,15225,4785,6525,15660,42195,477195
SL4,Eck-Reihenhaus modern (Altenwörth),shortlist,4,RH,Altenwörth,3474,Bezirk Tulln,369000,,114.65,153,4,2019,,,Luft-Wärmepumpe,true,true,Stellplatz,false,false,false,Turnkey 2019 massiv; Terrasse ~12 m²; Grünruhelage,,,,,48.38976,15.86862,town,https://www.remax.at/de/2442-2427,https://findheim.at/de/immobilie/modernes-reihenhaus-in-gruenruhelage-14bda900,Best plug-and-play under budget in shortlist. Small plot. ~20–25 min to Tulln. Town centroid.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,RE/MAX listing (remax.at/2442-2427); buyer commission typical 3%+USt,RE/MAX,3218.49,6.1,3.6,12915,4059,5535,13284,35793,404793
SL5,EFH „Rohdiamant“ teilsaniert (St. Andrä-Wördern),shortlist,5,EFH,St. Andrä-Wördern,3423,Bezirk Tulln / Speckgürtel,320000,RE/MAX €320k Richtpreis; some mirrors €349k — confirm live,100,414,3,1930,B,63.3,Gas ZH (BAXI); FBH in Wohn-Ess-Küche,true,false,Garage optional,false,false,false,"2025 shell (Dach, WDVS, 3-fach Glas); Küche/Bad/Garten unfinished; gekuppelt; Nutz ~150 m²",45,65,40,60,48.33772,16.20349,town,https://findheim.at/de/immobilie/quot-rohdiamant-teilsaniertes-haus-auf-eigengrund-in-woerdern-quot-154af676,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/-rohdiamant-teilsaniertes-haus-auf-eigengrund-in-woerdern-1283245280/,Best PT/car commute to Langegasse 50. Eigengrund stated. Pool spoken of as future option. Town centroid. 2026-09-23: findheim primary flaky/410; willhaben mirror confirmed live.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,ISPRIVATE=0; REMAX Wien Donaustadt; Provision:3% des Kaufpreises zzgl. 20% USt.,REMAX Wien Donaustadt,3200.0,6.1,3.6,11200,3520,4800,11520,31040,351040
SL6,EFH modernisiert + Stadl (Fels am Wagram),shortlist,6,EFH,Fels am Wagram,3481,Bezirk Tulln / Wagram,310000,,150,503,5,,,,Pellets + Solar,true,true,Stadl with Hebebühne,false,false,false,"Refresh from ~2012 (Dach, WD); farther Wagram location",,,,,48.44387,15.83501,town,https://findheim.at/de/immobilie/quot-grosszuegiges-einfamilienhaus-mit-viel-platz-fuer-familie-beruf-und-hobby-quot-6c2a7480,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/niederoesterreich/tulln/-grosszuegiges-einfamilienhaus-mit-viel-platz-fuer-familie-beruf-und-hobby-919534160/,Farther from Wien/Tulln corridor. Town centroid. 2026-09-23: findheim primary flaky/410; willhaben mirror confirmed live.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,ISPRIVATE=0; REMAX Tulln-Purkersdorf; Provision:3% des Kaufpreises zzgl. 20% USt.,REMAX Tulln-Purkersdorf,2066.67,6.1,3.6,10850,3410,4650,11160,30070,340070
SL7,Neubau DHH Erstbezug belagsfertig (Frauendorf),shortlist,7,DHH,Frauendorf an der Au,3481,KG Königsbrunn am Wagram / Absdorf area,425000,,109,,4,2023,,,Wärmepumpe + FBH,true,true,2 Stellplätze,false,false,false,Massiv 2022–24; 3 SZ; garden/terrace; confirm exact address/PLZ,,,,,48.39231,15.92114,town,https://findheim.at/de/immobilie/wohnen-an-den-donauauen-und-am-wagram-modern-massiv-hochwertig-wohnen-in-der-weinregion-wagram-mit-bester-infrastruktur-und-verkehrsanbindung-d768ab07,,Listed Absdorf-area branding. Town centroid Frauendorf.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,findheim: Raiffeisen Immobilienvermittlung / Peter Fellhofer; Vermittlungsprovision=Ja,Raiffeisen Immobilienvermittlung,3899.08,6.1,3.6,14875,4675,6375,15300,41225,466225
SL8,Neubau Reihenhaus Erstbezug (Dürnrohr),shortlist,8,RH,Dürnrohr,3435,Zwentendorf an der Donau / Bezirk Tulln,399000,Belagsfertig; +~€50k schlüsselfertig,126.6,,5,2028,,,Wärmepumpe + PV,true,false,,false,false,false,Handover Q1 2028; terraces/loggias; garden ~43–165 m² per unit,,,,,48.3318,15.89913,town,https://www.ir.at/de/immobilien/1614455-erstbezug-moderne-reihenhauser-mit-freiflachen-bei-allen-zimmern,,Future handover. Plot size varies by unit. Town centroid.,2026-09-22,active,2026-09-20,2026-09-24,,,,,seen,makler,IR Immobilienring; Provision €14.364 inkl. 20% USt (page),IR Immobilienring,3151.66,6.1,3.6,13965,4389,5985,14364,38703,437703
HM1,Jahrhundertwende-Stilhaus mit Wald (Hütteldorf),honourable,,EFH,Hütteldorf,3452,"Atzenbrugg / Trasdorf area, Bezirk Tulln",330000,,109,8785,6,1914,,,Holzofen,true,false,,false,false,false,Partial reno; nature/hobby/Zweitwohnsitz character more than classic commute home,,,,,48.30501,15.86334,town,https://www.remax.at/de/1626-28071,https://findheim.at/de/immobilie/jahrhundertwende-stilhaus-mit-wald-98b64385,"~8,785 m² Mischwald. Weaker family-commute match. Town centroid. 2026-09-21: RE/MAX Cloudflare-blocked; ImmoScout expose 410; confirmed live €330k via findheim + lib.at. ImmoScout alt stale.",2026-09-22,active,2026-09-20,2026-09-23,,,,,seen,makler,RE/MAX listing (remax.at/1626-28071); buyer commission typical 3%+USt,RE/MAX,3027.52,6.1,3.6,11550,3630,4950,11880,32010,362010
HM2,Sanierungsbedürftiges Landhaus (Absdorf),honourable,,EFH,Absdorf,3462,Bezirk Tulln,140000,,60,306,,,,,,true,false,,false,false,false,"Schwer sanierungsbedürftig; project house, not move-in; small Holzschuppen",,,,,48.38891,15.95912,town,https://www.raiffeisen-immobilien.at/de/immobilien/kauf/3462/absdorf/liebevolles-sanierungsbeduerftiges-landhaus-mit-kleinem-holzschuppen-und-ruhigem-innenhof-mit-bester-infrastruktur-und-bahnanbindung.0001011193.md,,Bahn Absdorf. Too small / heavy reno for classic family home. Town centroid.,2026-09-22,active,2026-09-20,2026-09-23,,,,,seen,makler,raiffeisen-immobilien.at: Kaufprovision 3% zzgl. 20% USt,Raiffeisen Immobilien,2333.33,6.1,3.6,4900,1540,2100,5040,13580,153580
